"","word","h","h_dec"
"609","constituir",0.905527487433393,10
"610","sudoeste",0.836517257076828,5
"611","situar",0.904773315415923,10
"612","israel",0.794959198811004,3
"613","egipto",0.886018593532379,9
"614","mantener",0.870077270069229,8
"615","civilización",0.870579711236867,8
"616","re",0.894979786098028,10
"617","éxodo",0.870057585180202,8
"618","babilón",0.715926797451698,1
"619","asirio",0.787806561100488,3
"620","persa",0.865047163172581,7
"621","macedonio",0.866408747690105,7
"622","breve",0.903873177738355,10
"623","imperio_romano",0.798569451477265,3
"624","galilea",0.686844100541137,1
"625","perea",0.81044683169489,4
"626","judea",0.756053307517934,2
"627","unir",0.894927113622325,10
"628","corresponder",0.909079824207743,10
"629","impedir",0.903887648306822,10
"630","salida",0.894038981058401,10
"631","mediterráneo",0.849929839335735,6
"632","revuelto",0.893294822787434,10
"633","provocar",0.894816101113611,10
"634","toma",0.901756204479272,10
"635","medida",0.850584318171701,6
"636","extrema",0.836036409530541,5
"637","rebelión",0.781406024380968,3
"638","optar",0.91123440120713,10
"639","prohibir",0.895840294102413,10
"640","castigar",0.901201280630015,10
"641","tradiciones",0.88381584937641,9
"642","intención",0.904177093699088,10
"643","desaparecer",0.89716627923168,10
"644","identidad",0.89219887675583,9
"645","masivo",0.902445200048962,10
"646","modificar",0.901329475199659,10
"647","territorial",0.860701142651818,7
"648","contexto",0.899424622034436,10
"649","alegato",0.885759344706985,9
"650","siria",0.725695680295474,1
"651","recurrir",0.905237917591887,10
"652","palestino",0.769495414262394,2
"653","caber",0.906461404365701,10
"654","destacar",0.907165867613701,10
"655","punto",0.865390707110532,7
"656","perdido",0.901137653455698,10
"657","asimilar",0.890440189074023,9
"658","geográfico",0.889597611977664,9
"659","persistir",0.906588324785953,10
"660","tiempo",0.873265335331105,8
"661","dicha",0.910660475265203,10
"662","administrativo",0.889096314414686,9
"663","adoptar",0.897716543304731,10
"664","político",0.842217502517923,6
"665","próximo",0.867951703723231,7
"666","milenio",0.875146501638229,8
"667","árabes",0.864691375879175,7
"668","noroccidental",0.766239409540616,2
"669","llamado",0.881506101694536,9
"670","facción",0.881653308505083,9
"671","visigodo",0.747409160249087,2
"672","enemigo",0.88792445964655,9
"673","rodrigo",0.827734792593965,5
"674","cruzar",0.8850630477242,9
"675","estrecho_de_gibraltar",0.793953098298492,3
"676","recordar",0.860067994112779,7
"677","general",0.848702753158326,6
"678","bereber",0.816727335195237,4
"679","liderar",0.903584863991568,10
"680","expedición",0.872812743462257,8
"681","lograr",0.884996799310362,9
"682","decisivo",0.897440092110453,10
"683","victoria",0.870798938134716,8
"684","batalla",0.898385070983091,10
"685","evidencia",0.89589221845077,10
"686","superiorida",0.885037880986313,9
"687","llevar",0.88292713321977,9
"688","intervención",0.900629243114309,10
"689","carácter",0.906549648805778,10
"690","limitado",0.909945542131771,10
"691","verdadera",0.897271381680921,10
"692","imposición",0.898311437550347,10
"693","nuevo",0.862435934239139,7
"694","emirato",0.875252983752608,8
"695","árabe",0.877003630906772,8
"696","andar",0.894163257854226,10
"697","capital",0.874356319532592,8
"698","córdoba",0.896597378989598,10
